contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG260320P00245000,2026-02-06 20:46:07+00:00,245.0,0.8,0.78,0.82,0.00999999,1.2658215,113.0,1301,0.47803256347656253,False,REGULAR,USD,put,2026-03-20
GOOG260320P00250000,2026-02-06 19:49:57+00:00,250.0,0.85,0.9,0.94,-0.049999952,-5.5555506,240.0,2039,0.46143116699218756,False,REGULAR,USD,put,2026-03-20
GOOG260320P00255000,2026-02-06 20:27:50+00:00,255.0,1.09,1.05,1.09,0.100000024,10.101012,224.0,993,0.44556218505859374,False,REGULAR,USD,put,2026-03-20
GOOG260320P00260000,2026-02-06 20:44:41+00:00,260.0,1.28,1.24,1.27,0.15999997,14.285712,641.0,1378,0.43030354858398445,False,REGULAR,USD,put,2026-03-20
GOOG260320P00265000,2026-02-06 20:06:31+00:00,265.0,1.41,1.46,1.51,-0.01999998,-1.3986001,510.0,1250,0.41699801757812494,False,REGULAR,USD,put,2026-03-20
GOOG260320P00270000,2026-02-06 20:27:51+00:00,270.0,1.79,1.75,1.81,0.19999993,12.578611,325.0,2748,0.40454697021484376,False,REGULAR,USD,put,2026-03-20
GOOG260320P00275000,2026-02-06 20:58:20+00:00,275.0,2.08,2.09,2.15,0.029999971,1.4634132,764.0,1680,0.39124143920898435,False,REGULAR,USD,put,2026-03-20
GOOG260320P00280000,2026-02-06 20:53:49+00:00,280.0,2.53,2.51,2.58,0.029999971,1.1999989,357.0,2816,0.3790345300292969,False,REGULAR,USD,put,2026-03-20
GOOG260320P00285000,2026-02-06 20:58:42+00:00,285.0,3.05,3.0,3.1,0.119999886,4.095559,332.0,2358,0.367193828125,False,REGULAR,USD,put,2026-03-20
GOOG260320P00290000,2026-02-06 20:58:42+00:00,290.0,3.7,3.7,3.8,0.29999995,8.823527,421.0,2312,0.35809968078613286,False,REGULAR,USD,put,2026-03-20
GOOG260320P00295000,2026-02-06 20:59:39+00:00,295.0,4.53,4.5,4.6,0.1500001,3.4246597,3437.0,4219,0.34778484252929687,False,REGULAR,USD,put,2026-03-20
GOOG260320P00300000,2026-02-06 20:59:39+00:00,300.0,5.48,5.5,5.6,0.65999985,13.692943,708.0,4717,0.3389348333740234,False,REGULAR,USD,put,2026-03-20
GOOG260320P00305000,2026-02-06 20:58:32+00:00,305.0,6.7,6.6,6.7,0.6999998,11.666664,1078.0,1703,0.32776551147460936,False,REGULAR,USD,put,2026-03-20
GOOG260320P00310000,2026-02-06 20:58:32+00:00,310.0,8.12,8.0,8.15,0.77,10.476191,1254.0,2998,0.32044136596679684,False,REGULAR,USD,put,2026-03-20
GOOG260320P00315000,2026-02-06 20:57:08+00:00,315.0,9.7,9.8,9.9,0.8199997,9.234231,180.0,3299,0.3144294631958008,False,REGULAR,USD,put,2026-03-20
GOOG260320P00320000,2026-02-06 20:58:40+00:00,320.0,11.85,11.75,11.9,1.4000006,13.397135,411.0,9989,0.30795980133056633,False,REGULAR,USD,put,2026-03-20
GOOG260320P00325000,2026-02-06 20:44:38+00:00,325.0,13.43,14.1,14.25,0.9800005,7.87149,364.0,1386,0.30298548583984375,True,REGULAR,USD,put,2026-03-20
GOOG260320P00330000,2026-02-06 20:52:30+00:00,330.0,16.0,16.7,16.85,1.3000002,8.843539,269.0,11091,0.29688203124999996,True,REGULAR,USD,put,2026-03-20
GOOG260320P00335000,2026-02-06 20:52:42+00:00,335.0,18.85,19.65,19.8,1.5,8.645533,24.0,8677,0.2919992675781249,True,REGULAR,USD,put,2026-03-20
GOOG260320P00340000,2026-02-06 17:59:19+00:00,340.0,21.95,22.7,22.9,2.3000011,11.704841,55.0,1194,0.2833323620605468,True,REGULAR,USD,put,2026-03-20
GOOG260320P00345000,2026-02-06 20:36:26+00:00,345.0,26.85,26.55,26.7,4.6499996,20.945944,8.0,874,0.28565167480468745,True,REGULAR,USD,put,2026-03-20
GOOG260320P00350000,2026-02-06 20:36:26+00:00,350.0,30.66,29.4,30.75,4.459999,17.022898,315.0,270,0.2890696093749999,True,REGULAR,USD,put,2026-03-20
GOOG260320P00355000,2026-02-06 20:10:33+00:00,355.0,34.78,33.4,34.8,4.9299984,16.515907,55.0,193,0.2863840893554687,True,REGULAR,USD,put,2026-03-20
GOOG260320P00360000,2026-02-05 19:07:56+00:00,360.0,35.7,37.55,39.05,0.0,0.0,18.0,53,0.28394270751953116,True,REGULAR,USD,put,2026-03-20
GOOG260320P00365000,2026-02-02 15:54:01+00:00,365.0,29.92,41.95,43.45,0.0,0.0,1.0,61,0.28089098022460934,True,REGULAR,USD,put,2026-03-20
GOOG260320P00370000,2026-02-06 20:21:50+00:00,370.0,47.71,46.45,48.05,-4.9900017,-9.468694,23.0,107,0.28125718749999995,True,REGULAR,USD,put,2026-03-20
GOOG260320P00375000,2026-02-06 18:47:16+00:00,375.0,50.71,51.35,52.9,-0.040000916,-0.07881954,806.0,118,0.29224340576171864,True,REGULAR,USD,put,2026-03-20
GOOG260320P00380000,2026-02-05 20:20:26+00:00,380.0,51.0,55.4,58.5,0.0,0.0,5.0,70,0.34802898071289057,True,REGULAR,USD,put,2026-03-20
GOOG260320P00385000,2026-02-05 20:08:56+00:00,385.0,54.75,60.25,63.0,0.0,0.0,1.0,26,0.33777517700195314,True,REGULAR,USD,put,2026-03-20
GOOG260320P00390000,2026-01-15 16:08:45+00:00,390.0,58.95,65.15,68.0,0.0,0.0,15.0,12,0.35645174804687496,True,REGULAR,USD,put,2026-03-20
GOOG260320P00395000,2026-02-05 19:42:57+00:00,395.0,66.35,70.25,73.45,0.0,0.0,1.0,1,0.40442490112304685,True,REGULAR,USD,put,2026-03-20
GOOG260320P00400000,2026-02-06 14:44:55+00:00,400.0,73.19,74.55,78.3,3.590004,5.158052,54.0,129,0.41358008300781246,True,REGULAR,USD,put,2026-03-20
GOOG260320P00405000,2025-12-01 16:41:00+00:00,405.0,88.55,89.45,93.35,0.0,0.0,5.0,0,0.7531152618408203,True,REGULAR,USD,put,2026-03-20
GOOG260320P00410000,2026-02-06 20:13:27+00:00,410.0,89.27,85.25,88.45,-0.7800064,-0.8661926,910.0,296,0.4594780615234375,True,REGULAR,USD,put,2026-03-20
GOOG260320P00420000,2026-02-05 20:51:56+00:00,420.0,87.5,94.55,98.45,0.0,0.0,807.0,0,0.49414568359375005,True,REGULAR,USD,put,2026-03-20
GOOG260320P00490000,2025-12-03 14:51:11+00:00,490.0,175.0,174.45,177.8,0.0,0.0,,0,1.0812423867797851,True,REGULAR,USD,put,2026-03-20
